matchID,seriesID,seriesName,matchDescription,matchFormat,startDate,endDate,state,status,teamID,teamName,team1Name,team1imageID,team2teamId,team2Name,team2Name,team2imageId,venueInfoid,venueInfoground,city,timezone,latitude,longitude,currBatTeamId,seriesStartDt,seriesEndDt,isTimeAnnounced,stateTitle,inngs1inningsId,inngs1runs,inngs1wickets,inngs1overs,inngs2inningsId,inngs2runs,inngs2wickets,inngs2overs,inngs1inningsId,inngs1runs,inngs1wickets,inngs1overs,inningsId,inngs2runs,inngs2wickets,inngs2overs,inngs2isDeclared,inngs1isDeclared,inngs2isFollowOn,inngs1isDeclared
89045.0,7558.0,East Asia Cup 2024,2nd Match,T20,1707890400000,1707903000000,Complete,Hong Kong won by 7 wkts,547.0,Japan,JPN,248418.0,8.0,Hong Kong,HK,172122.0,454.0,Mission Road Ground,Mong Kok,+08:00,22.323286,114.1828583,8.0,1707868800000,1708300800000,True,HK Won,1.0,179.0,5.0,19.6,,,,,2.0,184.0,3.0,16.1,,,,,,,,
89042.0,7558.0,East Asia Cup 2024,1st Match,T20,1707872400000,1707885000000,Complete,Hong Kong won by 123 runs,8.0,Hong Kong,HK,172122.0,524.0,China,CHN,172574.0,454.0,Mission Road Ground,Mong Kok,+08:00,22.323286,114.1828583,8.0,1707868800000,1708300800000,True,HK Won,1.0,171.0,5.0,19.6,,,,,2.0,48.0,8.0,19.6,,,,,,,,
89339.0,7579.0,Quadrangular Twenty20 Series in Thailand 2024,3rd place play-off,T20,1708065000000,1708077600000,Complete,Bhutan won by 4 wkts,563.0,Maldives,MDV,172615.0,555.0,Bhutan,BTN,172607.0,474.0,Terdthai Cricket Ground,Bangkok,+07:00,13.756331,100.501765,555.0,1707696000000,1708214400000,True,BTN Won,1.0,138.0,6.0,19.6,,,,,2.0,141.0,6.0,19.2,,,,,,,,
89336.0,7579.0,Quadrangular Twenty20 Series in Thailand 2024,Final,T20,1708050600000,1708063200000,Complete,Saudi Arabia won by 8 wkts,384.0,Thailand,THAI,172437.0,571.0,Saudi Arabia,SAU,172623.0,474.0,Terdthai Cricket Ground,Bangkok,+07:00,13.756331,100.501765,571.0,1707696000000,1708214400000,True,SAU Won,1.0,104.0,9.0,19.6,,,,,2.0,108.0,2.0,11.2,,,,,,,,
89329.0,7579.0,Quadrangular Twenty20 Series in Thailand 2024,6th Match,T20,1707978600000,1707991200000,Complete,Saudi Arabia won by 166 runs,571.0,Saudi Arabia,SAU,172623.0,555.0,Bhutan,BTN,172607.0,474.0,Terdthai Cricket Ground,Bangkok,+07:00,13.756331,100.501765,571.0,1707696000000,1708214400000,True,SAU Won,1.0,221.0,3.0,19.6,,,,,2.0,55.0,10.0,14.2,,,,,,,,
89322.0,7579.0,Quadrangular Twenty20 Series in Thailand 2024,5th Match,T20,1707964200000,1707976800000,Complete,Thailand won by 8 wkts,563.0,Maldives,MDV,172615.0,384.0,Thailand,THAI,172437.0,474.0,Terdthai Cricket Ground,Bangkok,+07:00,13.756331,100.501765,384.0,1707696000000,1708214400000,True,THAI Won,1.0,105.0,10.0,18.3,,,,,2.0,109.0,2.0,12.6,,,,,,,,
89315.0,7579.0,Quadrangular Twenty20 Series in Thailand 2024,4th Match,T20,1707805800000,1707818400000,Complete,Maldives won by 9 wkts,555.0,Bhutan,BTN,172607.0,563.0,Maldives,MDV,172615.0,474.0,Terdthai Cricket Ground,Bangkok,+07:00,13.756331,100.501765,563.0,1707696000000,1708214400000,True,MDV Won,1.0,115.0,6.0,19.6,,,,,2.0,119.0,1.0,14.3,,,,,,,,
89308.0,7579.0,Quadrangular Twenty20 Series in Thailand 2024,3rd Match,T20,1707791400000,1707804000000,Complete,Saudi Arabia won by 5 wkts,384.0,Thailand,THAI,172437.0,571.0,Saudi Arabia,SAU,172623.0,474.0,Terdthai Cricket Ground,Bangkok,+07:00,13.756331,100.501765,571.0,1707696000000,1708214400000,True,SAU Won,1.0,112.0,7.0,19.6,,,,,2.0,115.0,5.0,16.1,,,,,,,,
89304.0,7579.0,Quadrangular Twenty20 Series in Thailand 2024,2nd Match,T20,1707719400000,1707732000000,Complete,Saudi Arabia won by 98 runs,571.0,Saudi Arabia,SAU,172623.0,563.0,Maldives,MDV,172615.0,474.0,Terdthai Cricket Ground,Bangkok,+07:00,13.756331,100.501765,571.0,1707696000000,1708214400000,True,SAU Won,1.0,186.0,6.0,19.6,,,,,2.0,88.0,8.0,19.6,,,,,,,,
89297.0,7579.0,Quadrangular Twenty20 Series in Thailand 2024,1st Match,T20,1707705000000,1707717600000,Complete,Thailand won by 10 wkts,555.0,Bhutan,BTN,172607.0,384.0,Thailand,THAI,172437.0,474.0,Terdthai Cricket Ground,Bangkok,+07:00,13.756331,100.501765,384.0,1707696000000,1708214400000,True,THAI Won,1.0,70.0,10.0,17.6,,,,,2.0,72.0,,6.5,,,,,,,,
89248.0,7572.0,ICC Cricket World Cup League Two 2023-27,2nd Match,ODI,1708141500000,1708170300000,Complete,Nepal won by 9 wkts,24.0,Netherlands,NED,172138.0,72.0,Nepal,NEP,172169.0,458.0,Tribhuvan University International Cricket Ground,Kirtipur,+05:45,27.6768145,85.287199,72.0,1707955200000,1806537600000,True,NEP Won,1.0,137.0,10.0,38.6,,,,,2.0,141.0,1.0,15.2,,,,,,,,
89241.0,7572.0,ICC Cricket World Cup League Two 2023-27,1st Match,ODI,1707967800000,1707996600000,Complete,Namibia won by 4 wkts,72.0,Nepal,NEP,172169.0,161.0,Namibia,NAM,172229.0,458.0,Tribhuvan University International Cricket Ground,Kirtipur,+05:45,27.6768145,85.287199,161.0,1707955200000,1806537600000,True,NAM Won,1.0,132.0,10.0,41.1,,,,,2.0,134.0,6.0,33.1,,,,,,,,
87957.0,7492.0,"Pakistan Super League, 2024",1st Match,T20,1708182000000,1708194600000,Complete,Islamabad United won by 8 wkts,333.0,Lahore Qalandars,LHQ,172381.0,330.0,Islamabad United,ISU,172378.0,26.0,Gaddafi Stadium,Lahore,+05:00,31.513467,74.333375,330.0,1708128000000,1710892800000,True,ISU Won,1.0,195.0,5.0,19.6,,,,,2.0,200.0,2.0,18.2,,,,,,,,
82917.0,7257.0,"International League T20, 2024",Final,T20,1708180200000,1708192800000,Complete,MI Emirates won by 45 runs,1307.0,MI Emirates,MIE,249196.0,1298.0,Dubai Capitals,DCP,249194.0,153.0,Dubai International Cricket Stadium,Dubai,+04:00,25.046842,55.218969,1307.0,1705622400000,1708300800000,True,MIE Won,1.0,208.0,3.0,19.6,,,,,2.0,163.0,7.0,19.6,,,,,,,,
82913.0,7257.0,"International League T20, 2024",Qualifier 2,T20,1708007400000,1708020000000,Complete,Dubai Capitals won by 9 wkts,1319.0,Gulf Giants,GG,249198.0,1298.0,Dubai Capitals,DCP,249194.0,140.0,Sharjah Cricket Stadium,Sharjah,+04:00,25.33095,55.420902,1298.0,1705622400000,1708300800000,True,DCP Won,1.0,138.0,6.0,19.6,,,,,2.0,139.0,1.0,15.5,,,,,,,,
82908.0,7257.0,"International League T20, 2024",Qualifier 1,T20,1707921000000,1707933600000,Complete,MI Emirates won by 45 runs,1307.0,MI Emirates,MIE,249196.0,1319.0,Gulf Giants,GG,249198.0,153.0,Dubai International Cricket Stadium,Dubai,+04:00,25.046842,55.218969,1307.0,1705622400000,1708300800000,True,MIE Won,1.0,163.0,7.0,19.6,,,,,2.0,118.0,10.0,18.2,,,,,,,,
